Theoretical pI,Instability index,Gravy,Target
7.312359047,41.42717949,0.096923077,Stable
8.114587212,38.03176044,-0.217422868,Stable
7.300650215,39.69442971,0.065782493,Stable
7.300650215,39.69442971,0.065782493,Stable
7.37124424,37.89470339,-0.385169492,Stable
7.915702248,37.65788462,-0.3025,Stable
7.425184441,36.93385093,-0.116149068,Stable
8.850816154,34.73890365,-0.280730897,Stable
8.729808998,38.48551613,-0.243870968,Stable
8.897233391,34.77910299,-0.312956811,Stable
8.835085869,34.84889908,-0.119495413,Stable
9.141052818,36.44847458,-0.194673123,Stable
8.937010384,39.21641844,-0.29929078,Stable
8.669788933,39.31191304,-0.213623188,Stable
8.93913784,32.65318937,-0.32358804,Stable
8.838373756,33.90069767,-0.287043189,Stable
8.88491993,34.38066474,-0.073988439,Stable
9.018691826,37.22986755,-0.336423841,Stable
8.749342918,37.33609589,-0.13196347,Stable
8.897168922,34.51697674,-0.299667774,Stable
8.897168922,34.18906977,-0.299003322,Stable
8.808653831,32.5382392,-0.304651163,Stable
8.960734749,35.39868687,-0.252861953,Stable
9.101856041,28.57382812,-0.35234375,Stable
8.838180351,34.60328704,-0.272685185,Stable
8.622340202,29.85303922,-0.198039216,Stable
8.916316032,34.28475083,-0.327242525,Stable
9.013985634,38.61677305,-0.324113475,Stable
8.249132729,33.77040201,-0.395979899,Stable
9.082322121,45.08848606,-0.133067729,Less Stable
8.457881355,29.11875,-0.2203125,Stable
9.37114048,40.0650211,-0.120675105,Less Stable
9.013985634,38.61677305,-0.324113475,Stable
8.7536623,39.75519704,-0.24408867,Stable
8.509649467,35.68709056,-0.351830443,Stable
8.552005196,54.37273092,-0.235742972,Less Stable
8.988649559,31.37764925,-0.400373134,Stable
8.890012932,38.36849462,-0.185304659,Stable
8.938428688,36.85091873,-0.186219081,Stable
8.966988182,32.00789286,-0.24,Stable
8.509456062,35.72331407,-0.333526012,Stable
8.888530159,38.02098795,-0.286987952,Stable
8.99580555,36.61567308,-0.293269231,Stable
8.817163658,32.7082377,-0.168442623,Stable
9.065882683,35.38675799,-0.38630137,Stable
9.146468163,43.53031873,-0.42749004,Less Stable
8.952805138,36.8717506,-0.311510791,Stable
8.646967125,42.45,-0.241627907,Less Stable
8.888530159,38.02098795,-0.286987952,Stable
8.99580555,36.61567308,-0.293269231,Stable
8.817163658,32.7082377,-0.168442623,Stable
9.065882683,35.38675799,-0.38630137,Stable
8.952805138,36.8717506,-0.311510791,Stable
